screen_id,screen_name,ia_location,backend_readiness,backend_api_refs,required_panels,input_fields,result_fields,warnings_review_notice,actions,disabled_or_adapter_needed_states,empty_state,example_data_ref,must_not_claim,acceptance_criteria,implementation_gate
labtools_home,LabTools Home,first-level LabTools page,shell_ready,"list_quick_calculator_tasks; list_formula_specs; child availability summaries","header; three first-level entry cards; recent activity shell; quick access; Settings-linked capability callout",none,"child availability summary; recent rows future","review-before-bench-use notice",none,"recent activity shell until history adapter","No recent LabTools activity","three IA cards","inventory; cloud sync; LAN sharing; ImageJ/Fiji first-level; completed ELISA/cell record system","exactly three first-level entries: General Calculator, Reagent Preparation, Experiment Modules; child screens grouped correctly","IA freeze before implementation"
quick_calculator,Quick Calculator,General Calculator second-level,active_backend_ready + ui_adapter_needed,"list_quick_calculator_tasks; get_quick_calculator_task; v1 calculator dataclasses; CalculationError","calculator selector; input form; result preview; warning panel; copy actions; history placeholder","calculator-specific numeric fields; concentration/volume units; notes","calculated amount/volume; helper values; warnings; review tip","unit compatibility; pipetting precision; invalid input; review notice","copy result; save history adapter-needed","save/history disabled until storage adapter","Select a calculator to begin","dilution sample","WB/SDS/BCA/ELISA/qPCR workflow/cell records inside generic calculator; protocol validation","calculator selection changes fields; invalid input shows error; warnings stay visible","UI adapter and storage-history decision"
formula_solver,Dynamic Formula Solver,General Calculator second-level,active_backend_ready + ui_adapter_needed,"list_formula_specs; get_formula_spec; FormulaFieldSpec; FormulaSolveTargetSpec; supported_units_for_formula_field; formula solver functions","formula selector; expression preview; solve-target segmented control; input form; result card; unit help","formula fields; units; solve target; precision","solved target value; converted value; warnings; review note","missing variable; incompatible unit; unsupported solve target; review notice","copy result; save history adapter-needed","save formula run disabled until history adapter","Choose a formula and solve target","C1V1=C2V2 sample","replacement for validated experiment modules; fake values on error","target field becomes output; non-target required fields editable; errors do not create fake results","UI adapter and history adapter"
reagent_template_list,Reagent Template List,Reagent Preparation second-level,active_backend_ready + ui_adapter_needed,"ReagentTemplateStore.list_templates; ReagentTemplate; ReagentComponent","search/filter; template cards/table; selected summary; empty state; adapter notice","search text; category filter; status filter","template name; category; component count; target volume; pH target; last edited; status","storage adapter notice; template review required","new template opens editor; duplicate/copy planned","empty/sample-only until BioMedPilot storage adapter supplies path","No reagent templates in this project","PBS template sample","shared inventory; cloud template library; multi-user sync","empty/loading/adapter-needed states represented; no default ~/.labtools write path implied","BioMedPilot storage-root adapter"
reagent_template_editor,Reagent Template Editor,Reagent Preparation side panel,active_backend_ready + ui_adapter_needed,"ReagentTemplate; ReagentComponent; PHRecord; UI_COMPONENT_TYPES; COMPONENT_TYPE_DESCRIPTIONS; normalize_component_type; ReagentTemplateStore.upsert_template","metadata section; component editor table; pH section; validation summary; footer actions","template name; category; target volume; component name/type/amount/unit; vendor/lot notes; pH target","validation state; component count; normalized component type; preview summary","missing unit; invalid component type; missing pH; storage adapter notice","save adapter-needed; copy component list if generated","save/update requires storage-root adapter","new template with one blank component row","PBS component table","inventory decrement; stock tracking; collaboration","validation prevents save-ready state when required fields missing; close does not imply persistence","BioMedPilot storage-root adapter and validation mapping"
reagent_preparation_run,Reagent Preparation Run,Reagent Preparation second-level,active_backend_ready + ui_adapter_needed,"PreparationRequest; calculate_preparation; PreparationResult; PreparationRecordStore","template picker; run parameter form; component table; pH/checklist panel; warnings; action footer","template; target volume; operator note; preparation date; pH measured/adjusted; lot note","required component amount; unit; scaling factor; summary; validation warnings","pH adjustment review; unit conversion warning; storage adapter notice","copy summary; save record adapter-needed; export adapter-needed","save/export disabled until storage and file-picker adapters","Select a template to calculate a preparation run","PBS 500 mL preparation sample","inventory consumption; audit trail; cloud sync; production batch release","calculation preview visible before save; save/export explicitly adapter-needed","storage-root adapter and file-picker/export adapter"
wb_loading_calculator,Western Blot Loading,Experiment Modules > Protein Experiment,active_backend_ready + ui_adapter_needed,"WBLoadingConfig; WBSampleInput; calculate_wb_loading; WBLoadingRecordStore; wb_loading_record_markdown; wb_loading_record_csv","protein workflow substep bar; config card; sample table; result table; lane preview shell; warnings; action footer","target protein per lane; final volume; buffer concentration; reducing agent; sample ID; concentration; replicate; notes","sample volume; buffer volume; water volume; lane assignment; warnings","negative water; concentration too low; sample volume exceeds final volume; review notice","copy table; save record adapter-needed; Markdown/CSV export adapter-needed","history and export require storage/file-picker adapters","Add samples to calculate loading volumes","WB sample table","complete WB protocol; transfer optimization; antibody incubation; band analysis; image analysis","warning rows visible; lane preview helper only; no fake gel image or band result","WB UI adapter plus storage/file export adapters"
sds_page_gel,SDS-PAGE Gel,Experiment Modules > Protein Experiment,active_backend_ready + ui_adapter_needed,"SdsPageGelTemplate; GelSection; GelComponent; SdsPageGelCalculationInput; calculate_sds_page_gel_batch; JSON/XLSX helpers","gel template selector; batch form; resolving/stacking tables; safety notice; export boundary","gel format; number of gels; resolving percent; stacking percent; section volume; template source","component amount per section; total amount; unit; preparation notes","safety/review notice; template pH notice; unit conversion; file-picker boundary","copy table; XLSX export adapter-needed; JSON template import/export P1","template persistence and XLSX export require adapters","Choose a gel template to calculate component amounts","mini gel sample","safety validation; complete protein workflow; generic calculator placement","resolving and stacking sections distinct; export never active without file-picker boundary","file-picker/export adapter and optional template persistence adapter"
bca_od_mvp_boundary,BCA / OD MVP Boundary,Experiment Modules > Immuno & Absorbance,mockup_only to ui_adapter_needed,"parse_bca_od_matrix; annotate_well; annotate_well_range; analyze_bca_assay; BcaAnalysisResult","8x12 OD matrix; annotation side panel; standards/sample table; linear-fit summary; warning list; disabled footer","OD matrix; well role; well range; standard concentration; sample dilution note","corrected OD; fit R2; slope/intercept preview; concentration preview; warnings","low R2; high CV; negative corrected OD; out-of-range; testing-only notice","copy preview maybe allowed; save/export disabled or adapter-needed","save BCA record and export disabled until BCA record/export store exists","Paste an 8 x 12 OD matrix and annotate wells","BCA OD matrix sample","ELISA; 4PL; production save/export; formal report; complete absorbance system","matrix, annotation, fit summary, and warnings visible; save/export inactive; BCA not under General Calculator or ELISA","BCA record/export store before formal save/export"
cell_experiment_record_home_shell,Cell Experiment Record Home Shell,Experiment Modules > Cell Experiment,shell_only / blocked_until_backend,"no record model/store; optional helper: CellSeedingInput; calculate_cell_seeding_v1","category cards; shell notice; recent records empty state; Settings-linked ImageJ/Fiji callout if needed",none,none,"record saving unavailable until backend model/store exists","save/export disabled; helper links only","all record-create/save actions disabled or blocked","No saved cell experiment records; record storage is planned","cell category labels only","real save; complete template system; cloud sync; LAN sharing; ImageJ/Fiji execution","categories shown without fake records; disabled actions have explanation; ImageJ/Fiji Settings-linked only","cell record model/store required before active record UI"
