mockup_id,mockup_name,image_path,path_status,implementation_reference_status,ui_c2_group,readiness_level,required_text_revision,required_adapter_or_backend,disabled_or_shell_states_to_preserve,must_not_enable,notes
labtools_home,LabTools Home,/Users/changdali/Desktop/UI/界面示意图/IMG-04 LabTools : 实验工具首页.png,exists_png,implementation_reference_with_text_revision,ui_c2a_first_batch,P0,"revise overclaim copy; add homepage review notice",none,"developer_preview; no save/export on home","ImageJ/Fiji first-level; inventory; cloud sync; LAN sharing; collaboration","Use after text revisions from C1c3a/C1c3b."
quick_formula,Quick Calculator + Dynamic Formula Solver,/Users/changdali/Desktop/UI/界面示意图/labtools/Quick Calculator + Dynamic Formula Solver.png,exists_png,implementation_reference,ui_c2a_first_batch,P0,"mark cell plating as calculation helper only","UI-facing calculator adapter; history store later","save history adapter-needed; export disabled; review notice","WB; SDS-PAGE; BCA; ELISA; qPCR workflow; cell record saving","Strong General Calculator reference."
reagent_workflow,Reagent Template + Preparation Workflow,/Users/changdali/Desktop/UI/界面示意图/labtools/2. Reagent Template + Preparation Workflow.png,exists_png,implementation_reference_with_text_revision,ui_c2a_first_batch,P0,"make save-template visually disabled/secondary adapter-needed","BioMedPilotLabToolsStorageAdapter; FilePickerExportAdapter","save template/preparation/export adapter-needed","inventory deduction; production batch release; cloud template library; multi-user sync","Use together with reagent side panel detail."
wb_loading_main,Western Blot Loading focused page,/Users/changdali/Desktop/UI/界面示意图/labtools/3. Western Blot Loading + SDS-PAGE Gel.png,exists_png,implementation_reference,ui_c2b_second_batch,P0,"label downstream protein steps as placeholders","WB UI adapter; FilePickerExportAdapter for export","save WB record adapter-needed; CSV/Markdown export adapter-needed; downstream workflow shell","fake gel bands; image analysis; automatic band recognition; antibody recommendation","Use for WB loading focused page; SDS-PAGE is later subpage/placeholder."
bca_od_mvp,BCA / OD MVP Boundary,/Users/changdali/Desktop/UI/界面示意图/labtools/4. BCA : OD MVP Boundary.png,exists_png,boundary_reference_only,ui_c2b_second_batch,P1,"soften fit-success copy; qualify as MVP preview","BCA record store/export model; UI adapter for MVP preview","save/export disabled or adapter-needed; testing/MVP boundary","ELISA; 4PL; formal report; production save/export; clinical-grade quantification","Can inform MVP boundary UI; not formal BCA production implementation."
cell_workspace,Cell Experiment Workspace,/Users/changdali/Desktop/UI/界面示意图/labtools/图 5：Cell Experiment Workspace : 细胞实验工作区.png,exists_png,boundary_reference_only,shell_only_until_adapter,P1,"keep no-ELISA boundary and disabled save/run text","CellExperimentRecordStore; cell profile/state models; ImageJ/Fiji external engine adapter","record save disabled; timeline empty/shell; image analysis disabled","ELISA in cell page; fake records; fake timeline; automatic ROI; automatic cell counting; ImageJ/Fiji execution","Correct IA reference only until record/store adapters exist."
reagent_side_panel_detail,Reagent Template Editor side panel detail,docs/ui/mockups/labtools/c1c3_supplemental/reagent_template_editor_side_panel_detail_candidate_20260522.png,exists_png,detail_reference,ui_c2a_first_batch,P0,"minor text review only; keep dirty state non-versioned","BioMedPilotLabToolsStorageAdapter; validation view model","save-template disabled or adapter-needed","inventory deduction; cloud template library; production batch release; active save without adapter","Accepted supplemental detail reference."
wb_lane_warning_detail,WB lane/warning detail user replacement,docs/ui/mockups/labtools/c1c3_supplemental/wb_lane_warning_detail_user_replacement_20260522.png,exists_png,detail_reference,ui_c2b_second_batch,P0,"none beyond preserving boundary labels","WB warning view model; FilePickerExportAdapter","save/export locked; downstream flow placeholder","fake gel bands; image analysis; automatic band recognition; antibody recommendation","User replacement supersedes generated WB detail image."
elisa_boundary,ELISA / Immuno-Absorbance boundary,docs/ui/mockups/labtools/c1c3_supplemental/elisa_immuno_absorbance_boundary_candidate_20260522.png,exists_png,boundary_reference_only,shell_only_until_backend,P2,"keep 4PL disabled/undefined/backend-incomplete","ELISA MVP backend; ELISA record/export store","blocked_until_backend; run/save/export disabled","active ELISA analysis; 4PL default active workflow; formal report; production save/export","Separate ELISA boundary reference under Immuno/Absorbance."
image_processing_workspace,Image Processing Workspace,/Users/changdali/Desktop/UI/界面示意图/labtools/通用图像处理工作台.png,exists_png,boundary_reference_only,shell_only_until_external_engine_adapter,P2,"mark ImageJ/Fiji detected status as sample/mock unless real adapter exists","ImageJ/Fiji external engine adapter; image import/store; result review model","manual review required; save/export disabled/adapter-needed; batch processing disabled","automatic ROI; automatic cell counting; automatic band recognition; macro exposure; auto analysis result","Useful visual reference for external-engine workspace, not active analysis."
analysis_function_templates,Analysis Function Templates,/Users/changdali/Desktop/UI/界面示意图/labtools/“多个实验类型参数模板”细节图.png,exists_png,detail_reference,shell_only_until_template_adapter,P2,"fix any garbled warning text; keep all outputs review-only","analysis template model; result field schema; external engine adapter","save template adapter-needed; batch processing disabled; export disabled","automatic analysis; hidden macro; active batch processing; production export","Useful for template/schema planning across scratch/transwell/WB/IHC."
wb_lane_warning_generated_original,Generated WB lane/warning image superseded,/Users/changdali/.codex/generated_images/019e4449-f0b7-7a72-8a5c-039c69f041a4/ig_06b08bc0e69611fb016a0fd47e2e248191b0a482c148b6f8c4.png,exists_png,superseded,do_not_use,NA,NA,NA,NA,"do not use as implementation reference","Superseded by docs/ui/mockups/labtools/c1c3_supplemental/wb_lane_warning_detail_user_replacement_20260522.png."
