batch,sequence,screen_id,screen_name,implementation_scope,backend_readiness,required_adapter_or_contract,allowed_active_actions,disabled_or_adapter_needed_actions,must_not_enable,required_tests,next_stage
ui_c2_first_batch,1,labtools_home,LabTools Home,"Apply accepted three-entry IA, text revisions, review notice, recent activity empty state, quick access links.",shell_ready,"LabTools IA model; disabled state model","navigation to three LabTools branches","recent activity history remains empty/shell","ImageJ/Fiji first-level entry; inventory; cloud sync; LAN sharing; collaboration; save/export on home","IA regression; no ImageJ/Fiji first-level; UI smoke",UI-C2a1
ui_c2_first_batch,2,quick_calculator,Quick Calculator,"Render quick task registry, calculator form, result preview, warning/review rows, copy action.",active_backend_ready_ui_adapter_needed,"UI-facing error normalization; LabTools result/warning view model","copy calculated text when valid","save history disabled_missing_storage_adapter or future; export future/disabled_missing_file_picker","WB/SDS-PAGE/BCA/ELISA/qPCR workflow/cell record saving inside General Calculator","view model tests; disabled save/export tests; calculation error tests",UI-C2a1
ui_c2_first_batch,3,formula_solver,Dynamic Formula Solver,"Render formula selector, solve-target control, unit-aware inputs, solved result preview.",active_backend_ready_ui_adapter_needed,"UI-facing error normalization; LabTools result/warning view model","copy solved result when valid","save history disabled_missing_storage_adapter or future; export future","fake values on invalid input; validated protocol claim","formula view model tests; invalid input tests; copy-only tests",UI-C2a1
ui_c2_first_batch,4,reagent_template_preparation_shell,Reagent Template / Preparation Shell,"Render template list, selected template summary, preparation run preview shell, adapter notices.",active_backend_ready_ui_adapter_needed,"BioMedPilotLabToolsStorageAdapter contract; result/warning view model","copy preparation summary preview if calculated","save template/preparation disabled_missing_storage_adapter; export disabled_missing_file_picker/future","inventory deduction; production batch release; cloud template library; multi-user sync","storage adapter disabled-state tests; no default ~/.labtools write test; reagent model tests",UI-C2a1
ui_c2_second_batch,5,reagent_template_editor,Reagent Template Editor Side Panel,"Implement validation, dirty state, pH fields, component table, disabled save footer.",active_backend_ready_ui_adapter_needed,"BioMedPilotLabToolsStorageAdapter contract; error normalization","copy component summary if generated","save template disabled_missing_storage_adapter until adapter active","active save without project storage; version management claim; inventory/cloud features","editor validation tests; disabled save tests",UI-C2b
ui_c2_second_batch,6,reagent_preparation_run,Reagent Preparation Run,"Render calculation preview, component table, pH/review notice, copy summary.",active_backend_ready_ui_adapter_needed,"BioMedPilotLabToolsStorageAdapter; FilePickerExportAdapter future; result view model","copy preparation summary","save preparation disabled_missing_storage_adapter; export disabled_missing_file_picker","inventory consumption; audit trail; production batch release","preparation result view model tests; save/export disabled tests",UI-C2b
ui_c2_second_batch,7,wb_loading_focused,Western Blot Loading Focused Page,"Render WB config, sample table, calculation table, schematic lane preview, S3 warning.",active_backend_ready_ui_adapter_needed,"UI-facing error normalization; FilePickerExportAdapter; storage adapter; WB result/warning model","copy WB table/summary","save WB record disabled_missing_storage_adapter; CSV/Markdown export disabled_missing_file_picker","fake gel bands; image analysis; automatic band recognition; antibody recommendation; downstream workflow activation","WB warning row tests; export gate tests; lane preview boundary tests",UI-C2b
ui_c2_third_batch,8,sds_page_placeholder,SDS-PAGE Placeholder/Subpage,"Render adapter-safe SDS-PAGE subpage or workflow placeholder after WB focus is stable.",active_backend_ready_ui_adapter_needed,"FilePickerExportAdapter; persistent template adapter future","copy component table preview","template save disabled_missing_storage_adapter; XLSX export disabled_missing_file_picker","complete protein workflow claim; active export without file picker","SDS disabled export tests; template state tests",UI-C2c
ui_c2_third_batch,9,bca_od_mvp_boundary,BCA / OD MVP Boundary,"Render OD matrix, annotation side panel, linear-fit preview, warning list as MVP/testing only.",testing_preview_only_ui_adapter_needed,"BCA result/warning view model; BCA record/export future","copy safe preview only if supported","save/export disabled_backend_missing","ELISA; 4PL; formal report; production save/export; clinical-grade quantification","BCA boundary tests; no ELISA/formal report semantic tests",UI-C2c
ui_c2_third_batch,10,cell_experiment_workspace_shell,Cell Experiment Workspace Shell,"Render cell profile/state area, record template categories, result processing callout, empty timeline.",shell_only_blocked_until_backend,"CellExperimentRecordStore future; ImageJ/Fiji external engine adapter future","navigation/help links only","record save blocked_until_backend; image analysis blocked_until_backend","fake records; fake timeline; automatic ROI; automatic cell counting; ImageJ/Fiji execution; ELISA card","cell shell boundary tests; no fake records tests; Settings-linked ImageJ/Fiji tests",UI-C2c
ui_c2_third_batch,11,elisa_immuno_absorbance_boundary,ELISA / Immuno-Absorbance Boundary,"Render blocked ELISA boundary under Immuno/Absorbance with disabled run/save/export.",blocked_until_backend,"ELISA MVP backend future","navigation to BCA/OD MVP or guidance only","run/save/export blocked_until_backend","active ELISA; active 4PL; formal report; production save/export; clinical-grade quantification","ELISA blocked-state tests; disabled action tests",UI-C2c
ui_c2_third_batch,12,image_processing_workspace_boundary,Image Processing Workspace Boundary,"Render Settings-linked ImageJ/Fiji external-engine boundary and disabled processing controls.",shell_only_until_external_engine_adapter,"ImageJ/Fiji external engine adapter future","Settings navigation/help only","run image analysis blocked_until_backend; save/export blocked_until_backend","macro execution; automatic ROI; automatic cell counting; automatic band recognition; active batch processing","image processing boundary tests; no macro/auto analysis tests",UI-C2c
