gate_id,required_for_formal_deg,current_status,current_evidence,readiness_decision,blocker_or_next_action
project_context,true,available_for_gated_shell,"C2g project home and gate shell",ready,"None"
standardized_count_matrix,true,preflight_materializable,"deg_executor_preflight materializes count_matrix.tsv",partial,"Must lock selected asset for formal run"
sample_metadata,true,preflight_materializable,"deg_executor_preflight writes sample_design.tsv",partial,"Need formal sample metadata validation gate"
group_design,true,draft_or_confirmed_preflight,"group_comparison_design and DEG task plan",partial,"Need explicit formal confirmation gate"
comparison_selection,true,configured_not_run,"deg_task_plan status configured_not_run",partial,"Need user confirmation before execution"
method_policy,true,planned_placeholder,"DESeq2/limma policy remains planned_placeholder",blocked,"Must select available formal executor"
dependency_gate,true,not_connected,"analysis_ui dependency rows only preview disabled states",blocked,"Need runtime package/dependency check"
parameter_gate,true,not_connected,"thresholds shown in preflight UI",blocked,"Need formal parameter validation contract"
user_confirmation,true,not_connected,"ordinary formal buttons disabled",blocked,"Need confirmation artifact before run"
formal_executor,true,not_present_in_active_uishell,"No active app/bioinformatics/deg_engine/formal_runner.py",blocked,"Scoped carry-over required"
artifact_write_path,true,preflight_only,"deg_executor_preflight writes preflight inputs only",blocked,"Formal result write path must be approved"
result_registry,true,preview_only,"analysis_ui state reads result_index only",blocked,"Need formal result registry write and schema validation"
formal_result_semantics,true,blocked,"C2g keeps formal_computed_result count zero",blocked,"Must only set after formal executor success"
plot_gate,false,disabled,"C2g no fake plot and no formal plot",future,"Keep volcano/heatmap separate"
report_ready_gate,true,disabled,"C2f/C2g report-ready blocked",blocked,"Need formal result review first"
export_gate,true,disabled,"C2f/C2g all exports disabled",blocked,"Need report-ready and export adapter"
ora_gsea,false,disabled_or_planned,"C2g task matrix only",out_of_scope,"Do not combine with formal DEG"
survival_cox,false,disabled_or_planned,"C2g task matrix only",out_of_scope,"Separate clinical/survival audit required"
