screenshot_id,module,page_name,source_runtime_page,image_path,page_opened,layout_issue,misleading_enabled_button,formal_result_report_export_seen,needs_polish,notes
dashboard_home,Dashboard,Dashboard / 工作台,MainWindow.show_dashboard,docs/ui/runtime_screenshots/20260524/dashboard_home.png,true,false,false,false,true,"Dashboard renders; card spacing is usable, but visual density and icon scale should be reviewed in polish."
labtools_home,LabTools,LabTools 首页,MainWindow.show_labtools + _show_labtools_home,docs/ui/runtime_screenshots/20260524/labtools_home.png,true,false,false,false,true,"Three-entry IA renders; local data status and review notice are visible."
labtools_general_calculator,LabTools,通用计算器,_show_labtools_general_calculator_shell,docs/ui/runtime_screenshots/20260524/labtools_general_calculator.png,true,true,false,false,true,"Page renders, but dense panels and native input styling need visual polish."
labtools_reagent_preparation,LabTools,试剂制备,_show_labtools_reagent_preparation_shell,docs/ui/runtime_screenshots/20260524/labtools_reagent_preparation.png,true,true,false,false,true,"Page renders; horizontal scrolling/cropping visible at 1600x1000 and should be addressed."
labtools_wb_loading,LabTools,WB Loading,_show_labtools_wb_loading_page,docs/ui/runtime_screenshots/20260524/labtools_wb_loading.png,true,true,false,false,true,"Page renders with warning state; content overflows horizontally and vertically in the captured viewport."
labtools_experiment_boundaries,LabTools,实验模块边界页,_show_labtools_experiment_modules_shell,docs/ui/runtime_screenshots/20260524/labtools_experiment_boundaries.png,true,false,false,false,true,"Boundary cards render; verify card wrapping and disabled action clarity during polish."
bioinformatics_project_home,Bioinformatics,Project Home / 项目首页,BioinformaticsWorkspaceWidget.show_project_home,docs/ui/runtime_screenshots/20260524/bioinformatics_project_home.png,true,false,false,false,true,"Project Home renders with 7-step IA and Developer Preview state."
bioinformatics_data_source,Bioinformatics,Data Source / 数据来源,BioinformaticsWorkspaceWidget.show_data_source,docs/ui/runtime_screenshots/20260524/bioinformatics_data_source.png,true,false,false,false,true,"Data Source renders; no direct formal analysis result is visible."
bioinformatics_analysis_tasks,Bioinformatics,Analysis Tasks / 分析任务,BioinformaticsWorkspaceWidget.show_analysis_tasks,docs/ui/runtime_screenshots/20260524/bioinformatics_analysis_tasks.png,true,true,false,false,true,"Gate matrix renders with blocked formal actions; table is clipped/scroll-heavy in viewport."
bioinformatics_result_export,Bioinformatics,Report Export / 报告导出,BioinformaticsWorkspaceWidget.show_report_viewer,docs/ui/runtime_screenshots/20260524/bioinformatics_result_export.png,true,true,true,false,true,"Export gate renders disabled export formats, but enabled open-report-file/folder buttons may be misleading without an existing report."
meta_project_home,Meta Analysis,Meta Project Home,MetaAnalysisWorkspaceWidget.show_target_ia_page(project_home),docs/ui/runtime_screenshots/20260524/meta_project_home.png,true,true,false,false,true,"Page opens, but Meta target IA/nav and content blocks appear compressed and need layout polish."
meta_question_type,Meta Analysis,Question & Meta Type,MetaAnalysisWorkspaceWidget.show_target_ia_page(question_meta_type),docs/ui/runtime_screenshots/20260524/meta_question_type.png,true,true,false,false,true,"Question/type page opens; active type card area overlaps/compresses and needs redesign/polish."
meta_search_strategy,Meta Analysis,Search Strategy,MetaAnalysisWorkspaceWidget.show_target_ia_page(search_strategy),docs/ui/runtime_screenshots/20260524/meta_search_strategy.png,true,true,false,false,true,"Search Strategy renders; verify query/table readability and avoid overlapping flow nav."
meta_screening_extraction,Meta Analysis,Full-text & Extraction,MetaAnalysisWorkspaceWidget.show_target_ia_page(fulltext_extraction),docs/ui/runtime_screenshots/20260524/meta_screening_extraction.png,true,true,false,false,true,"Extraction representative screenshot opens; combined Screening/Extraction scope needs separate captures in a follow-up if needed."
meta_result_export,Meta Analysis,Report Export Gate,MetaAnalysisWorkspaceWidget.show_target_ia_page(report_export),docs/ui/runtime_screenshots/20260524/meta_result_export.png,true,true,false,false,true,"Export gate is disabled, but Meta nav/content overlap is severe in the captured viewport."
settings_home,Settings,Settings / 设置中心,MainWindow.show_settings,docs/ui/runtime_screenshots/20260524/settings_home.png,true,true,false,false,true,"Settings renders, but long inventory rows dominate the first viewport and need information hierarchy polish."
